Commune,Region,Departement,Nom_monument,Siecle,Latitude,Longitude
"Sabazan,Occitanie,Gers,Chateau,Moyen Age;16e siecle,43.708797, 0.050169"
"Cenevieres,Occitanie,Lot,Chateau,13e siecle;14e siecle;15e siecle;16e siecle,44.4628715449, 1.75368308502"
"Lussan,Occitanie,Gard,Chateau,15e siecle;16e siecle;17e siecle,44.1538189992, 4.36689920374"
Sainte-Feyre,Nouvelle-Aquitaine,Creuse,Chateau,3e quart 18e siecle,46.1421114376, 1.91658541886
Lisle,Nouvelle-Aquitaine,Dordogne,Chateau,16e siecle,45.271819, 0.558208
"Chanzeaux,Pays-de-la-Loire,Maine-et-Loire,Chateau,18e siecle;19e siecle,47.269149, -0.619303"
"Saint-Martin,Provence-Alpes-Cote-d'Azur,Var,Chateau,Moyen Age;17e siecle;18e siecle;19e siecle,43.5874762016, 5.88859990515"
Derval,Pays-de-la-Loire,Loire-Atlantique,Chateau,14e siecle,47.656835, -1.674397
"Poncin,Auvergne-Rhone-Alpes,Ain,Chateau,4e quart 13e siecle;14e siecle;18e siecle,46.0864239322, 5.40998781227"
"Lupe,Auvergne-Rhone-Alpes,Loire,Chateau,15e siecle;16e siecle;18e siecle,45.3739111966, 4.70709579305"
"Sain-Bel,Auvergne-Rhone-Alpes,Rhone,Chateau,15e siecle;16e siecle;17e siecle,45.8119295975, 4.59875137977"
Gemeaux,Bourgogne-Franche-Comte,Cote-d'Or,Chateau,1ere moitie 18e siecle,47.4780080708, 5.14200586065
"Corcelles-les-Arts,Bourgogne-Franche-Comte,Cote-d'Or,Chateau,12e siecle;15e siecle;17e siecle,46.9514163972, 4.79646816212"
"Vanlay,Grand Est,Aube,Chateau,16e siecle;17e siecle,48.0241757098, 4.01157538314"
"Osthoffen,Grand Est,Bas-Rhin,Chateau,10e siecle;16e siecle;18e siecle,48.5842887285, 7.55315844494"
Voissant,Auvergne-Rhone-Alpes,Isere,Chateau,16e siecle,45.4853014251, 5.71258258812
La Salle,Bourgogne-Franche-Comte,Saone-et-Loire,Chateau,4e quart 19e siecle,46.405621195, 4.84213740065
La Berliere,Grand Est,Ardennes,Chateau,2e quart 18e siecle,49.5190769053, 4.92033687571
Brienne-le-Chateau,Grand Est,Aube,Chateau,2e moitie 18e siecle,48.3915514944, 4.5213094478
Froeschwiller,Grand Est,Bas-Rhin,Chateau,4e quart 19e siecle,48.9421314303, 7.72019795363
Dompierre-sur-Authie,Hauts-de-France,Somme,Chateau,18e siecle,50.3050146852, 1.91754037933
"Montfort-l'Amaury,Ile-de-France,Yvelines,Chateau,11e siecle;15e siecle;16e siecle,48.7766402681, 1.80433815332"
Le Douhet,Nouvelle-Aquitaine,Charente-Maritime,Chateau,17e siecle,45.8200828639, -0.565855153016
Anneot,Bourgogne-Franche-Comte,Yonne,Chateau,18e siecle,47.5191111522, 3.88270046869
Esnon,Bourgogne-Franche-Comte,Yonne,Chateau,3e quart 18e siecle,47.9887531218, 3.57619299966
Saint-Aubin-du-Cormier,Bretagne,Ille-et-Vilaine,Chateau,1er quart 13e siecle,48.2613070045, -1.39365364994
"Frucourt,Hauts-de-France,Somme,Chateau,17e siecle;18e siecle,49.9972599828, 1.81010512535"
Vimont,Normandie,Calvados,Chateau,2e moitie 18e siecle,49.1238391972, -0.204681247831
"Montmoreau-Saint-Cybard,Nouvelle-Aquitaine,Charente,Chateau,12e siecle;4e quart 15e siecle,45.421404, 0.139759"
Parentignat,Auvergne-Rhone-Alpes,Puy-de-Dome,Chateau,1ere moitie 18e siecle,45.5324937133, 3.29155830495
Sauviat,Auvergne-Rhone-Alpes,Puy-de-Dome,Chateau,Moyen Age,45.7150683224, 3.53350744587
Jours-les-Baigneux,Bourgogne-Franche-Comte,Cote-d'Or,Chateau,16e siecle,47.6307346789, 4.59716073784
Precy-sur-Vrin,Bourgogne-Franche-Comte,Yonne,Chateau,1er quart 19e siecle,47.9672194263, 3.25184753817
"Villegongis,Centre-Val de Loire,Indre,Chateau,16e siecle;17e siecle;18e siecle,46.914907396, 1.59911576692"
"Noizay,Centre-Val de Loire,Indre-et-Loire,Chateau,16e siecle;17e siecle,47.416604, 0.899126"
Poissons,Grand Est,Haute-Marne,Chateau,18e siecle,48.4244969857, 5.2161815784
"Berles-Monchel,Hauts-de-France,Pas-de-Calais,Chateau,18e siecle;19e siecle,50.343691, 2.537126"
Le Mesnil-Germain,Normandie,Calvados,Chateau,1ere moitie 17e siecle,49.042648, 0.16956
Rosay-sur-Lieure,Normandie,Eure,Chateau,17e siecle,49.3741713485, 1.43998245458
"Saint-Hilaire-sur-Risle,Normandie,Orne,Chateau,1er quart 17e siecle;18e siecle,48.723149, 0.505502"
La Ventrouze,Normandie,Orne,Chateau,16e siecle,48.606453, 0.69699
La Boissiere-Ecole,Ile-de-France,Yvelines,Chateau,2e moitie 19e siecle,48.6810139579, 1.65490146595
Ouilly-du-Houley,Normandie,Calvados,Chateau,16e siecle,49.177722, 0.345082
"Chapdeuil,Nouvelle-Aquitaine,Dordogne,Chateau,15e siecle;16e siecle;17e siecle;19e siecle,45.344679, 0.466576"
"Calonges,Nouvelle-Aquitaine,Lot-et-Garonne,Chateau,15e siecle;17e siecle,44.374264, 0.227405"
"Puits,Bourgogne-Franche-Comte,Cote-d'Or,Chateau,15e siecle;17e siecle,47.7332585252, 4.46002497967"
Courcelles-les-Montbard,Bourgogne-Franche-Comte,Cote-d'Or,Chateau,2e moitie 13e siecle,47.5945221438, 4.39757818683
